预警类型,影响区域,前次预警级别,当前预警级别,时间间隔(天),月份,季节,当前预警时间,前次预警时间,是否工作日,历史平均间隔,过去30天预警次数
暴雨,"罗湖区,南山区,福田区",橙色,黄色,9,8,夏季,2025-08-14 08:00:00,2025-08-04 11:45:00,1,6.857142857142857,7
暴雨,"罗湖区,南山区,福田区",黄色,黄色,24,9,秋季,2025-09-08 00:40:00,2025-08-14 08:00:00,1,7.125,1
暴雨,"罗湖区,南山区,福田区",黄色,黄色,16,9,秋季,2025-09-24 02:30:00,2025-09-08 00:40:00,1,9.0,1
暴雨,"罗湖区,盐田区,龙岗区",黄色,黄色,74,5,春季,2025-05-29 12:10:00,2025-03-15 15:04:00,1,24.864406779661017,0
暴雨,"罗湖区,盐田区,龙岗区",黄色,橙色,14,6,夏季,2025-06-12 22:00:00,2025-05-29 12:10:00,1,74.0,1
暴雨,"罗湖区,盐田区,龙岗区",橙色,橙色,35,7,夏季,2025-07-18 11:34:00,2025-06-12 22:00:00,1,44.0,0
暴雨,"罗湖区,盐田区,龙岗区",橙色,黄色,14,8,夏季,2025-08-02 07:20:00,2025-07-18 11:34:00,0,41.0,1
暴雨,"罗湖区,盐田区,龙岗区",黄色,黄色,2,8,夏季,2025-08-04 23:50:00,2025-08-02 07:20:00,1,34.25,2
暴雨,"罗湖区,福田区,盐田区",黄色,黄色,10,6,夏季,2025-06-28 00:35:00,2025-06-17 03:42:00,0,24.864406779661017,1
暴雨,"罗湖区,福田区,盐田区",黄色,黄色,39,8,夏季,2025-08-06 11:41:00,2025-06-28 00:35:00,1,10.0,0
暴雨,"龙岗,坪地,宝龙",橙色,黄色,24,9,秋季,2025-09-07 22:15:00,2025-08-14 09:35:00,0,24.864406779661017,1
暴雨,"龙岗,坪地,宝龙",橙色,橙色,16,9,秋季,2025-09-25 11:20:00,2025-09-08 12:30:00,1,24.0,4
暴雨,"龙岗,坪地,龙城",黄色,黄色,17,6,夏季,2025-06-30 07:15:00,2025-06-12 20:15:00,1,24.864406779661017,1
暴雨,"龙岗,坪地,龙城",黄色,黄色,44,8,夏季,2025-08-14 05:41:00,2025-06-30 07:15:00,1,17.0,0
森林火险,全市,黄色,黄色,55,3,春季,2025-03-19 10:00:00,2025-01-22 11:00:00,1,32.6,0
森林火险,全市,黄色,橙色,1,3,春季,2025-03-21 09:15:00,2025-03-19 10:00:00,1,55.0,1
森林火险,全市,橙色,黄色,12,4,春季,2025-04-02 11:00:00,2025-03-21 09:15:00,1,28.0,2
森林火险,全市,黄色,黄色,10,4,春季,2025-04-13 08:50:00,2025-04-02 11:00:00,0,22.666666666666668,3
